WTP,TestDate,RawWaterTotalViolation,wqc_raw_total_min,wqc_raw_total_avg,wqc_raw_total_max
Langat 2,4/3/2022,Ammonia (NH4),0.14,0.34,0.53
Langat 2,4/3/2022,Ferum/Iron (Fe),2.14,4.9,7.65
Langat 2,4/3/2022,Turbidity,468,919.67,1559
Langat 2,4/3/2022,Manganese (Mn),0.71,1.41,2.1
Langat 2,5/3/2022,Color,19,20.83,23
Langat 2,5/3/2022,pH,6.7,6.93,7.07
Langat 2,5/3/2022,Ammonia (NH4),0.18,0.25,0.31
Langat 2,5/3/2022,Ferum/Iron (Fe),3.8,4.46,5.12
Langat 2,5/3/2022,Turbidity,337,484,602
Langat 2,5/3/2022,Manganese (Mn),0.78,0.8,0.82
Langat 2,6/3/2022,Color,11,17.5,21
Langat 2,6/3/2022,pH,6.8,6.99,7.14
Langat 2,6/3/2022,Ammonia (NH4),0.15,0.17,0.19
Langat 2,6/3/2022,Ferum/Iron (Fe),1.81,2.17,2.52
Langat 2,6/3/2022,Turbidity,133,270.83,377
Langat 2,6/3/2022,Manganese (Mn),0.42,0.51,0.59
Langat 2,7/3/2022,Color,13,17.33,24
Langat 2,7/3/2022,pH,6.74,6.91,7
Langat 2,7/3/2022,Ammonia (NH4),0.12,0.13,0.13
Langat 2,7/3/2022,Ferum/Iron (Fe),1.42,1.57,1.72
Langat 2,7/3/2022,Turbidity,145,280.67,492
Langat 2,7/3/2022,Manganese (Mn),0.22,0.28,0.33
Langat 2,8/3/2022,Color,10,14.5,21
Langat 2,8/3/2022,pH,6.8,6.95,7.02
Langat 2,8/3/2022,Ammonia (NH4),0.16,0.18,0.19
Langat 2,8/3/2022,Ferum/Iron (Fe),1.22,1.56,1.89
Langat 2,8/3/2022,Turbidity,2.77,191.46,352
Langat 2,8/3/2022,Manganese (Mn),0.24,0.33,0.41
Langat 2,9/3/2022,Color,13,23.17,41
Langat 2,9/3/2022,pH,6.82,7.02,7.22
Langat 2,9/3/2022,Ammonia (NH4),0.11,0.43,0.74
